"X1L","Var1","Freq","Test_group"
1,"Dickeya_vir",100,"VirTaxa"
1,"Enterobacter_vir",100,"VirTaxa"
1,"Enterococcus_faecalis_vir",79,"VirTaxa"
1,"Enterococcus_vir",86,"VirTaxa"
1,"Escherichia_coli_vir",84,"VirTaxa"
1,"Escherichia_vir",45,"VirTaxa"
1,"Klebsiella_michiganensis_vir",59,"VirTaxa"
1,"Klebsiella_pneumoniae_vir",91,"VirTaxa"
1,"Klebsiella_vir",100,"VirTaxa"
1,"Kluyvera_ascorbata_vir",26,"VirTaxa"
1,"Kluyvera_vir",35,"VirTaxa"
1,"Salmonella_vir",99,"VirTaxa"
1,"Serratia_vir",100,"VirTaxa"
1,"Shigella_vir",100,"VirTaxa"
1,"Staphylococcus_epidermidis_vir",100,"VirTaxa"
1,"Staphylococcus_vir",100,"VirTaxa"
1,"Dickeya_vir",100,"BacTaxa"
1,"Enterobacter_vir",100,"BacTaxa"
1,"Enterococcus_faecalis_vir",50,"BacTaxa"
1,"Enterococcus_vir",64,"BacTaxa"
1,"Escherichia_coli_vir",59,"BacTaxa"
1,"Klebsiella_pneumoniae_vir",89,"BacTaxa"
1,"Klebsiella_vir",100,"BacTaxa"
1,"Salmonella_vir",99,"BacTaxa"
1,"Serratia_vir",100,"BacTaxa"
1,"Shigella_vir",100,"BacTaxa"
1,"Staphylococcus_bac",100,"BacTaxa"
1,"Staphylococcus_epidermidis_bac",84,"BacTaxa"
1,"Staphylococcus_epidermidis_vir",100,"BacTaxa"
1,"Staphylococcus_vir",100,"BacTaxa"
1,"Veillonella_bac",100,"BacTaxa"
1,"AMINOGLYCOSIDE_rest",49,"BacRest"
1,"DLFM02_00013.F30_DCS_33.gene.2...572.1894.complete_rest",63,"BacRest"
1,"DLFM02_01131.F19_SXT_62.gene.2...712.1503.complete_rest",99,"BacRest"
1,"DLFM07_01864.01X.000_GEN_1.gene.5...2984.3268.complete_rest",97,"BacRest"
1,"DLFM10_01885.F1_AMX_18.gene.7...4595.5374.complete_rest",89,"BacRest"
1,"DLFM11_03899.P05SR2_FOX_106.gene.2...421.855.complete_rest",97,"BacRest"
1,"Enterobacter_vir",100,"BacRest"
1,"Enterococcus_vir",27,"BacRest"
1,"Klebsiella_pneumoniae_vir",38,"BacRest"
1,"Klebsiella_vir",37,"BacRest"
1,"LIPOPEPTIDE_rest",87,"BacRest"
1,"MUPIROCIN_rest",85,"BacRest"
1,"QUINOLONE_rest",100,"BacRest"
1,"Serratia_vir",98,"BacRest"
1,"Shigella_vir",61,"BacRest"
1,"Staphylococcus_vir",100,"BacRest"
1,"X1028083901.WP_063842869_1.1.1.blaR1.blaR1.regulation.2.BETA.LACTAM.BETA.LACTAM.beta.lactam_sensor_signal_transducer_BlaR1_rest",99,"BacRest"
1,"X1028086515.WP_063844889_1.1.1.erm.X..erm.X..target_modification.2.MACROLIDE.MACROLIDE.23S_rRNA_.adenine.2058..N.6...methyltransferase_Erm.X._rest",77,"BacRest"
1,"X1028097908.WP_063854503_1.1.1.qacB.qacB.efflux.2.QUATERNARY_AMMONIUM.QUATERNARY_AMMONIUM.quaternary_ammonium_compound_efflux_MFS_transporter_QacB_rest",100,"BacRest"
1,"X300492223.ADK23698_1.1.1.qacR.qacR..1.QUATERNARY_AMMONIUM.QUATERNARY_AMMONIUM.multidrug.binding_transcriptional_regulator_QacR_rest",100,"BacRest"
1,"X446085580.WP_000163435_1.1.1.mupA.mupA.insensitivity.2.MUPIROCIN.MUPIROCIN.mupirocin.resistant_isoleucine..tRNA_ligase_MupA_rest",100,"BacRest"
1,"X446291359.WP_000369214_1.1.1.mecI_of_mecA.mecI_of_mecA..2.METHICILLIN.BETA.LACTAM.mecA.type_methicillin_resistance_repressor_MecI_rest",91,"BacRest"
1,"X446875667.WP_000952923_1.1.1.mecR1.mecR1.regulation.2.METHICILLIN.BETA.LACTAM.beta.lactam_sensor_signal_transducer_MecR1_rest",100,"BacRest"
1,"Clostridium_iRep",99,"BaciRep"
1,"Clostridium_perfringens_iRep",83,"BaciRep"
1,"Dickeya_vir",100,"BaciRep"
1,"Enterobacter_vir",100,"BaciRep"
1,"Enterococcus_faecalis_vir",53,"BaciRep"
1,"Enterococcus_vir",82,"BaciRep"
