"X6L","Var1","Freq","Test_group"
6,"Escherichia_marmotae_vir",93,"VirTaxa"
6,"Escherichia_vir",43,"VirTaxa"
6,"Klebsiella_michiganensis_vir",84,"VirTaxa"
6,"Serratia_vir",100,"VirTaxa"
6,"Cutibacterium_bac",38,"BacTaxa"
6,"Escherichia_marmotae_vir",73,"BacTaxa"
6,"Klebsiella_michiganensis_vir",55,"BacTaxa"
6,"Serratia_marcescens_bac",34,"BacTaxa"
6,"Serratia_vir",100,"BacTaxa"
6,"Serratia_vir",26,"BacRest"
6,"X151859.AAA21096_1.1.1.arsC_gluta.arsC_gluta..1.ARSENATE.ARSENIC.glutaredoxin.dependent_arsenate_reductase_rest",58,"BacRest"
6,"X2879919.BAA24822_1.1.1.arsA.arsA..1.ARSENITE.ARSENIC.arsenite_efflux_transporter_ATPase_subunit_ArsA_rest",77,"BacRest"
6,"Escherichia_marmotae_vir",88,"BaciRep"
6,"Escherichia_vir",34,"BaciRep"
6,"Klebsiella_michiganensis_vir",85,"BaciRep"
6,"Serratia_vir",100,"BaciRep"
6,"LACTOSECAT.PWY..lactose.and.galactose.degradation.I_path",28,"BacPath"
6,"PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation_MAX",73,"BacMAX"
6,"PWY.6113..superpathway.of.mycolate.biosynthesis_MAX",46,"BacMAX"
6,"PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II_MAX",61,"BacMAX"
6,"PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II_MAX",61,"BacMAX"
6,"PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation_MAX",39,"AllVars"
6,"PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II_MAX",40,"AllVars"
6,"PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II_MAX",31,"AllVars"
