feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
Corynebacterium_bac,NEC_status,Control,9.11756403714274,3.23030004899245,778,168,0.00476488830415849,0.0722460091522409
Clostridium_bac,NEC_status,Control,-11.4740577757256,4.89791988443841,778,289,0.0191479038363918,0.206576424081073
Clostridium_perfringens_bac,NEC_status,Control,-15.2166712720973,3.68728630044087,778,211,3.6785550717838e-5,0.00187025484175955
Enterobacter_vir,NEC_status,Control,-15.6682495769391,4.440305874297,772,365,4.17697861295158e-4,0.0176474021122022
Klebsiella_vir,NEC_status,Control,-13.0220046671413,3.71848417035703,772,410,4.61838769194279e-4,0.0177258118081233
Klebsiella_grimontii_vir,NEC_status,Control,-2.84890599399733,0.363087625562609,766,166,4.28382532490329e-15,6.98263527959237e-13
gb.BAE77933_1.ARO_3000518.CRP__Escherichia_coli_rest,NEC_status,Control,-3.76918209532636,1.27246231145722,777,574,0.00305531776491943,0.0756798375243642
X1255553.BAA06852_1.1.1.cpa.cpa..1...alpha.toxin_rest,NEC_status,Control,-11.8012610633466,4.28081669935371,777,178,0.00583739781185639,0.125892149530746
X0.WP_001181005_1.1.1.rpsJ.rpsJ.mutation.2...30S_ribosomal_protein_S10_rest,NEC_status,Control,-3.08794126518236,1.23527443151824,777,590,0.0124262800867146,0.217643722228848
P562.PWY..myo.inositol.degradation.I_path,NEC_status,Control,-15.2930967448748,3.40650829486596,778,278,7.1432098346323e-6,0.00265060706263756
PWY.6113..superpathway.of.mycolate.biosynthesis_path,NEC_status,Control,10.1129988146647,2.65800597482943,778,267,1.41958145132706e-4,0.0261993607029384
PWY.5675..nitrate.reduction.V..assimilatory._path,NEC_status,Control,-3.57153546747984,1.0639199840973,778,607,7.88048774392335e-4,0.0919601134240701
PWY0.1338..polymyxin.resistance_path,NEC_status,Control,-4.52328278006749,1.49991727443739,778,509,0.00256396793358887,0.182717800831008
GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation_path,NEC_status,Control,-2.48170212297014,0.842915237327617,778,637,0.00323801756428054,0.212033008973947
Clostridium_perfringens_iRep,NEC_status,Control,-11.1977601516135,5.12153282255745,757,144,0.0287857714703254,0.247497428120747
Clostridium.perfringens_MAX,NEC_status,Control,-14.0392059620026,4.35610562140979,742,166,0.00126908679879799,0.0349905360240019
PANTO.PWY..phosphopantothenate.biosynthesis.I_MAX,NEC_status,Control,0.373291275878345,0.107947902510029,744,715,5.44062386189658e-4,0.13558871682902
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II_MAX,NEC_status,Control,0.364783393517278,0.107803956296822,744,721,7.14988352007485e-4,0.160760403499517
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis_MAX,NEC_status,Control,0.364783393517278,0.107803956296822,744,721,7.14988352007485e-4,0.160760403499517
PWY.7315..dTDP.N.acetylthomosamine.biosynthesis_MAX,NEC_status,Control,-3.69676351951246,1.18064921408998,744,531,0.00174136391580604,0.239634446442012
PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I_MAX,NEC_status,Control,0.367271835848954,0.118428316686936,744,714,0.00192727399117623,0.245887735697244
