"X3L","Var1","Freq","Test_group"
3,"Clostridium_botulinum_vir",58,"VirTaxa"
3,"Cronobacter_vir",100,"VirTaxa"
3,"Dickeya_vir",90,"VirTaxa"
3,"Enterococcus_faecalis_vir",51,"VirTaxa"
3,"Klebsiella_michiganensis_vir",33,"VirTaxa"
3,"Klebsiella_variicola_vir",90,"VirTaxa"
3,"Serratia_vir",100,"VirTaxa"
3,"Clostridium_botulinum_vir",59,"BacTaxa"
3,"Cronobacter_vir",98,"BacTaxa"
3,"Dickeya_vir",45,"BacTaxa"
3,"Enterococcus_bac",29,"BacTaxa"
3,"Klebsiella_variicola_vir",50,"BacTaxa"
3,"Serratia_vir",100,"BacTaxa"
3,"Staphylococcus_bac",78,"BacTaxa"
3,"Veillonella_bac",100,"BacTaxa"
3,"DLFM02_00013.F30_DCS_33.gene.2...572.1894.complete_rest",58,"BacRest"
3,"DLFM07_02200.01G.000_CAZ_4.gene.2...230.2200.complete_rest",31,"BacRest"
3,"LIPOPEPTIDE_rest",100,"BacRest"
3,"Serratia_vir",59,"BacRest"
3,"X446291359.WP_000369214_1.1.1.mecI_of_mecA.mecI_of_mecA..2.METHICILLIN.BETA.LACTAM.mecA.type_methicillin_resistance_repressor_MecI_rest",40,"BacRest"
3,"X446875667.WP_000952923_1.1.1.mecR1.mecR1.regulation.2.METHICILLIN.BETA.LACTAM.beta.lactam_sensor_signal_transducer_MecR1_rest",32,"BacRest"
3,"Clostridium_botulinum_vir",67,"BaciRep"
3,"Cronobacter_vir",100,"BaciRep"
3,"Dickeya_vir",47,"BaciRep"
3,"Enterococcus_faecalis_vir",38,"BaciRep"
3,"Klebsiella_variicola_vir",67,"BaciRep"
3,"Serratia_vir",100,"BaciRep"
3,"Veillonella_iRep",100,"BaciRep"
3,"ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis_path",98,"BacPath"
3,"CITRULBIO.PWY..L.citrulline.biosynthesis_path",89,"BacPath"
3,"METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation_path",47,"BacPath"
3,"P108.PWY..pyruvate.fermentation.to.propanoate.I_path",30,"BacPath"
3,"P221.PWY..octane.oxidation_path",34,"BacPath"
3,"PWY.5088..L.glutamate.degradation.VIII..to.propanoate._path",31,"BacPath"
3,"PWY.6113..superpathway.of.mycolate.biosynthesis_path",99,"BacPath"
3,"PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate._path",30,"BacPath"
3,"PWY.7663..gondoate.biosynthesis..anaerobic._path",52,"BacPath"
3,"PWY0.1479..tRNA.processing_path",79,"BacPath"
3,"PWY66.389..phytol.degradation_path",75,"BacPath"
3,"PWYG.321..mycolate.biosynthesis_path",27,"BacPath"
3,"SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis_path",58,"BacPath"
3,"ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis_MAX",44,"BacMAX"
3,"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis_MAX",92,"BacMAX"
3,"CITRULBIO.PWY..L.citrulline.biosynthesis_MAX",69,"BacMAX"
3,"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian._MAX",27,"BacMAX"
3,"P221.PWY..octane.oxidation_MAX",83,"BacMAX"
3,"PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II_MAX",59,"BacMAX"
3,"PWY.5103..L.isoleucine.biosynthesis.III_MAX",84,"BacMAX"
3,"PWY.5177..glutaryl.CoA.degradation_MAX",87,"BacMAX"
3,"PWY.6124..inosine.5..phosphate.biosynthesis.II_MAX",33,"BacMAX"
3,"PWY0.162..superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis_MAX",75,"BacMAX"
3,"Serratia_vir",38,"BacMAX"
3,"ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis_path",87,"AllVars"
3,"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis_MAX",71,"AllVars"
3,"CITRULBIO.PWY..L.citrulline.biosynthesis_path",63,"AllVars"
3,"LIPOPEPTIDE_rest",83,"AllVars"
3,"P221.PWY..octane.oxidation_MAX",58,"AllVars"
3,"PWY.5103..L.isoleucine.biosynthesis.III_MAX",63,"AllVars"
3,"PWY.5177..glutaryl.CoA.degradation_MAX",45,"AllVars"
3,"PWY.6113..superpathway.of.mycolate.biosynthesis_path",67,"AllVars"
3,"PWY0.1479..tRNA.processing_path",46,"AllVars"
3,"PWY0.162..superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis_MAX",62,"AllVars"
3,"PWY66.389..phytol.degradation_path",48,"AllVars"
3,"SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis_path",27,"AllVars"
3,"Veillonella_bac",46,"AllVars"
