"X5","Var1","Freq","Test_group"
5,"Anaerococcus_vir",31,"VirTaxa"
5,"Haemophilus_vir",95,"VirTaxa"
5,"Shigella_vir",100,"VirTaxa"
5,"Haemophilus_vir",86,"BacTaxa"
5,"Shigella_vir",100,"BacTaxa"
5,"Veillonella_atypica_bac",77,"BacTaxa"
5,"Veillonella_dispar_bac",35,"BacTaxa"
5,"DLFM11_03899.P05SR2_FOX_106.gene.2...421.855.complete_rest",76,"BacRest"
5,"Shigella_vir",47,"BacRest"
5,"Haemophilus_vir",86,"BaciRep"
5,"Shigella_vir",100,"BaciRep"
5,"Veillonella_iRep",66,"BaciRep"
5,"P221.PWY..octane.oxidation_path",49,"BacPath"
5,"PWY.6527..stachyose.degradation_path",44,"BacPath"
5,"THRESYN.PWY..superpathway.of.L.threonine.biosynthesis_path",31,"BacPath"
5,"GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.Entner.Doudoroff_MAX",43,"BacMAX"
5,"PWY.5005..biotin.biosynthesis.II_MAX",81,"BacMAX"
5,"PWY.6549..L.glutamine.biosynthesis.III_MAX",95,"BacMAX"
5,"SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I_MAX",69,"BacMAX"
5,"P221.PWY..octane.oxidation_path",29,"AllVars"
5,"PWY.5005..biotin.biosynthesis.II_MAX",36,"AllVars"
5,"PWY.6549..L.glutamine.biosynthesis.III_MAX",50,"AllVars"
5,"SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I_MAX",37,"AllVars"
